hoodId,MVSF,RAH,A
"00643",103,1039,130000
"00958",92,843,86600
"01019",118,1544,239400
"01192",113,1090,141400
"01241",130,1393,212500
"01389",131,1209,162700
"01455",NaN,932,101800
"01464",141,1408,220500
"01496",110,1248,178500
"01556",104,1102,140500
"01718",130,1407,217700
"01792",89,874,79900
"02021",128,1412,221800
"02107",134,1401,213500
"02173",141,1651,273600
"02253",142,1307,217300
"02341",132,1483,234500
"02375",168,2557,440900
"02464",127,1592,258200
"02669",144,1548,243100
"02823",122,1318,198400
"02841",138,1738,294100
"02885",119,1694,282700
"02939",140,1475,227200
"02959",119,1679,280000
"02963",142,1620,267800
"03021",217,2121,349700
"03030",131,1763,297300
"03104",146,1646,274700
"03120",151,1652,285300
"03147",110,1227,164100
"03156",134,1483,242300
"03184",151,1623,272100
"03252",151,2464,431800
"03284",146,1969,336600
"03414",143,1634,268300
"03478",111,1153,155600
"03545",139,2105,360900
"03568",142,1563,250400
"03592",152,2510,436500
"03692",136,1774,297100
"03706",164,2667,454900
"03781",137,1289,190200
"03849",115,1364,210600
"03944",146,1574,254200
"03958",143,2235,378200
"03967",140,1633,264900
"04026",127,1467,226600
"04120",155,2333,400600
"04221",131,1469,234600
"04410",114,1271,178100
"04450",142,1607,261500
"04453",191,3148,555200
"04456",139,1807,302800
"04599",85,858,NaN
"04608",104,913,NaN
"06165",145,1510,248400
"06309",NaN,NaN,NaN
"06423",NaN,NaN,NaN
"06850",NaN,NaN,NaN
"07425",NaN,NaN,NaN
"07676",NaN,NaN,NaN
"07836",NaN,NaN,NaN
"08622",NaN,NaN,NaN
